commence_date,commence_time,home_team,away_team,outcome_team,Point Spread,Spread-Price,Money Line,Total Points,Total Price
"December 14, 2022",Tomorrow 05:30 AM,Elon @,Presbyterian,Elon @,-5,-122,-239,O 125.5,-122
"December 14, 2022",Tomorrow 05:30 AM,Elon @,Presbyterian,Presbyterian,+5,-115,+170,U 125.5,-117
"December 14, 2022",Tomorrow 05:30 AM,Lehigh @,Wisconsin,Lehigh @,+23,-110,No value,O 133.5,-109
"December 14, 2022",Tomorrow 05:30 AM,Lehigh @,Wisconsin,Wisconsin,-23,-110,No value,U 133.5,-110
"December 14, 2022",Tomorrow 05:30 AM,Chattanooga @,Middle Tennessee,Chattanooga @,+5.5,-112,+190,O 138.5,-110
"December 14, 2022",Tomorrow 05:30 AM,Chattanooga @,Middle Tennessee,Middle Tennessee,-5.5,-108,-239,U 138.5,-110
"December 14, 2022",Tomorrow 05:30 AM,Stony Brook @,Wagner,Stony Brook @,+6.5,-110,+230,O 130.5,-110
"December 14, 2022",Tomorrow 05:30 AM,Stony Brook @,Wagner,Wagner,-6.5,-110,-295,U 130.5,-109
"December 14, 2022",Tomorrow 05:30 AM,Southeastern Louisiana @,Nicholls State,Southeastern Louisiana @,+7.5,-110,+255,O 156.0,-110
"December 14, 2022",Tomorrow 05:30 AM,Southeastern Louisiana @,Nicholls State,Nicholls State,-7.5,-110,-334,U 156.0,-109
"December 14, 2022",Tomorrow 05:30 AM,Louisiana-Lafayette @,McNeese State,Louisiana-Lafayette @,-13,-110,-1000,O 139.0,-110
"December 14, 2022",Tomorrow 05:30 AM,Louisiana-Lafayette @,McNeese State,McNeese State,+13,-110,+600,U 139.0,-110
"December 14, 2022",Tomorrow 05:30 AM,North Alabama @,Colorado,North Alabama @,+23,-110,No value,O 147.0,-109
"December 14, 2022",Tomorrow 05:30 AM,North Alabama @,Colorado,Colorado,-23,-110,No value,U 147.0,-110
"December 14, 2022",Tomorrow 05:30 AM,UC Irvine @,Santa Clara,UC Irvine @,+1,-110,-103,O 146.0,-110
"December 14, 2022",Tomorrow 05:30 AM,UC Irvine @,Santa Clara,Santa Clara,-1,-110,-118,U 146.0,-110
"December 14, 2022",Tomorrow 05:30 AM,Seattle @,Oregon State,Seattle @,-1.5,-110,-125,O 137.5,-110
"December 14, 2022",Tomorrow 05:30 AM,Seattle @,Oregon State,Oregon State,+1.5,-110,+104,U 137.5,-110
