commence_date,commence_time,home_team,away_team,outcome_team,Point Spread,Spread-Price,Money Line,Total Points,Total Price
14-Dec-22,Today 10:30 PM,Elon @,Presbyterian,Elon @,5.5,-110,195,O 130.5,-110
14-Dec-22,Today 10:30 PM,Elon @,Presbyterian,Presbyterian,-5.5,-109,-244,U 130.5,-110
14-Dec-22,Tomorrow 05:30 AM,Lehigh @,Wisconsin,Lehigh @,23,-110,No value,O 133.5,-109
14-Dec-22,Tomorrow 05:30 AM,Lehigh @,Wisconsin,Wisconsin,-23,-110,No value,U 133.5,-110
14-Dec-22,Tomorrow 05:30 AM,Chattanooga @,Middle Tennessee,Chattanooga @,6,-110,210,O 138.5,-110
14-Dec-22,Tomorrow 05:30 AM,Chattanooga @,Middle Tennessee,Middle Tennessee,-6,-110,-264,U 138.5,-110
14-Dec-22,Tomorrow 05:30 AM,Stony Brook @,Wagner,Stony Brook @,6.5,-110,230,O 130.5,-110
14-Dec-22,Tomorrow 05:30 AM,Stony Brook @,Wagner,Wagner,-6.5,-110,-295,U 130.5,-109
14-Dec-22,Tomorrow 06:30 AM,Southeastern Louisiana @,Nicholls State,Southeastern Louisiana @,7.5,-110,255,O 156.0,-110
14-Dec-22,Tomorrow 06:30 AM,Southeastern Louisiana @,Nicholls State,Nicholls State,-7.5,-110,-334,U 156.0,-109
14-Dec-22,Tomorrow 06:30 AM,Louisiana-Lafayette @,McNeese State,Louisiana-Lafayette @,-13,-110,-1000,O 139.0,-110
14-Dec-22,Tomorrow 06:30 AM,Louisiana-Lafayette @,McNeese State,McNeese State,13,-110,600,U 139.0,-110
14-Dec-22,Tomorrow 07:00 AM,North Alabama @,Colorado,North Alabama @,23,-110,No value,O 147.0,-109
14-Dec-22,Tomorrow 07:00 AM,North Alabama @,Colorado,Colorado,-23,-110,No value,U 147.0,-110
14-Dec-22,Tomorrow 08:30 AM,UC Irvine @,Santa Clara,UC Irvine @,1,-110,-103,O 146.0,-110
14-Dec-22,Tomorrow 08:30 AM,UC Irvine @,Santa Clara,Santa Clara,-1,-110,-118,U 146.0,-110
14-Dec-22,Tomorrow 09:00 AM,Seattle @,Oregon State,Seattle @,-1.5,-110,-125,O 137.5,-110
14-Dec-22,Tomorrow 09:00 AM,Seattle @,Oregon State,Oregon State,1.5,-110,104,U 137.5,-110
